1;01/02/2007;;United Kingdom;Whitehaven, Cumbria;landslide;Landslide;Rain;;1;;The Times;http://www.timesonline.co.uk/tol/newspapers/sunday_times/britain/article1288510.ece;;Known_within_5_km;Medium;;glc;1;United Kingdom;Whitehaven;22405;England;Cumbria;24803;GB;EU;sGaiIKdcW;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;5,45494E+16;-35875;(54.549399999999999, -3.5874999999999999)
2;01/03/2007;;Peru;Alto Mesapata, in the Pasco province;landslide;Complex;Rain;;;;My Opera;http://my.opera.com/bibberle/blog/index.dml/tag/Landslide;;Unknown;Medium;;glc;2;Peru;Huancabamba;1,22617E+16;Pasco;Provincia de Oxapampa;0;PE;SA;S95OsumK4;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;-1,03838E+16;-7,54267E+16;(-10.383800000000001, -75.426699999999997)
3;01/05/2007;;Brazil;Nova Friburgo, Rio de Janeiro;landslide;Landslide;Rain;;7;;Deutsche Presse-Agentur - MonstersandCritics;http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil;;Known_within_25_km;Large;;glc;3;Brazil;Nova Friburgo;63016;Rio de Janeiro;Nova Friburgo;153361;BR;SA;D5vlNdgB7;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;-2,22823E+16;-4,25364E+16;(-22.282346350000001, -42.536362050000001)
4;01/05/2007;;Brazil;Sumidouro, Rio de Janeiro;landslide;Landslide;Rain;;2;;Deutsche Presse-Agentur - MonstersandCritics;http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil;;Known_within_10_km;Medium;;glc;4;Brazil;Carmo;1,40514E+16;Rio de Janeiro;Carmo;11555;BR;SA;h5J8IFdc4;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;-2,20452E+16;-4,26734E+16;(-22.045200000000001, -42.673400000000001)
5;01/05/2007;;Brazil;Jundiai, Sao Paulo;landslide;Landslide;Rain;;1;;Deutsche Presse-Agentur - MonstersandCritics;http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil;;Known_within_50_km;Medium;;glc;5;Brazil;MairiporâˆšÂ£;1007582;SâˆšÂ£o Paulo;MairiporâˆšÂ£;54415;BR;SA;s5Zb5FdB4;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;-2,32311E+16;-4,66136E+16;(-23.231100000000001, -46.613599999999998)
6;01/05/2007;;Pakistan;Hallar Bridge, Kotli;landslide;Landslide;Rain;;13;;Daily Times of Pakistan;http://www.dailytimes.com.pk/default.asp?page=2007/01/06/story_6-1-2007_pg7_5;;Known_within_50_km;Medium;;glc;6;Pakistan;Palandri;1,92126E+16;Azad Kashmir;;0;PK;AS;sJDdkfmQU;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;3,35452E+16;7,37062E+16;(33.545200000000001, 73.706199999999995)
7;01/08/2007;;Brunei;Bandar Seri Begawan ;landslide;Landslide;Rain;;;;Borneo Bulletin - Brunei Direct;http://www.brudirect.com/DailyInfo/News/Archive/Jan07/080107/nite04.htm;;Known_within_10_km;Medium;;glc;7;Brunei;Bandar Seri Begawan;587279;Brunei and Muara;;64409;BN;AS;hJ_aZPKB4;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;49833;114917;(4.9832999999999998, 114.917)
8;01/08/2007;;Indonesia;Sungai Sariak, Sumatra;landslide;Complex;Rain;;28;;indahnesia.com;http://news.indahnesia.com/item/200701096/13_buried_in_sumatra_landslide.php;;Known_within_25_km;Medium;;glc;8;Indonesia;Tanjungpati;4,20844E+16;West Sumatra;;0;ID;AS;DJR_uPcB4;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;667;1009833;(0.066699999999999995, 100.9833)
9;01/11/2007;;Philippines;Inupuan in Barangay Mainit, Nabunturan, Compostela Valley Province;landslide;Landslide;Unknown;;6;;Sun Star Online;http://www.sunstar.com.ph/static/net/2007/01/13/landslide.traps.11.compostela.valley.miners.html;;Known_within_25_km;Medium;;glc;9;Philippines;Manat;49587;Davao;Compostela;6148;PH;AS;D5F2sIZeFD;2;Fri Sep 12 2014 20:04:31 GMT+0000 (UTC);3141049488;75314;1,26013E+16;(7.5313999999999997, 126.01300000000001)
10;01/13/2007;;Sri Lanka;Nuwara Eliya, Sri Lanka;landslide;Landslide;Rain;;2;;World Socialist Web Site - Asian Tribune;http://www.asiantribune.com/index.php?q=node/4361;;Known_within_10_km;Large;;glc;10;Sri Lanka;Nuwara Eliya;283392;Central;Nuwara Eliya District;25775;LK;AS;SJg9EkcQW;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;69658;807577;(6.9657999999999998, 80.7577)
11;01/13/2007;;United Kingdom;Merstham Tunnel, between Redhill and Coulsdon South;landslide;Landslide;Downpour;;;;Croydon Guardian;http://www.croydonguardian.co.uk/news/localnews/display.var.1126761.0.landslide_causes_train_derailment.php;;Known_within_5_km;Medium;;glc;11;United Kingdom;Redhill;242905;England;Surrey;51559;GB;EU;DJkVgQgc4;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;5,12888E+16;-154356568;(51.288767890000003, -0.154356568)
12;01/14/2007;;Iran;Mazandaran, Northern Iran;landslide;Complex;Rain;;;;Fars News Agency;http://english.farsnews.com/newstext.php?nn=8510240566;;Unknown;Large;;glc;12;Iran;Æ’Ã„mol;2,48846E+16;MÆ’Ã…zandarÆ’Ã…n;;199382;IR;AS;s5iq1KdBW;1;Tue Apr 01 2014 00:00:00 GMT+0000 (UTC);1;3,63667E+16;5,21042E+16;(36.366700000000002, 52.104199999999999)
13;01/11/2007;evening;Indonesia;Sangihe island;landslide;Mudslide;Downpour;;24;;Reuters - AlertNet.org;https://web.archive.org/web/20081205015640/http://www.alertnet.org/thenews/newsdesk/JAK86240.htm;Unknown;Known_within_25km;Large;;test;13;Indonesia;Manganitu;444417;;obe;0;ID;AS;s5yc7QNHAN;2;Fri Jan 08 2016 17:33:47 GMT+0000 (UTC);1373629;35424;1255401;(3.5424000000000002, 125.5401)
